Dia da Semana;Codigo;Disciplina;Professor;Horario
Segunda-Feira;IES036;Engenharia de Software I;JOSENYR SANTOS ROSA;07:00-07:45
Segunda-Feira;IES036;Engenharia de Software I;JOSENYR SANTOS ROSA;07:45-08:30
Segunda-Feira;IES036;Engenharia de Software I;JOSENYR SANTOS ROSA;08:30-09:15
Segunda-Feira;IES036;Engenharia de Software I;JOSENYR SANTOS ROSA;09:15-10:00
Terça-Feira;PDS001;Projeto Integrador em Análise e Desenvolvimento de Sistemas I;EDSON LUIZ PARISOTTO;07:00-07:45
Terça-Feira;PDS001;Projeto Integrador em Análise e Desenvolvimento de Sistemas I;EDSON LUIZ PARISOTTO;07:45-08:30
Terça-Feira;IAC012;Arquitetura e Organização de Computadores;MARCIO GALVÃO RIBEIRO;08:30-09:15
Terça-Feira;IAC012;Arquitetura e Organização de Computadores;MARCIO GALVÃO RIBEIRO;09:15-10:00
Terça-Feira;IAC012;Arquitetura e Organização de Computadores;MARCIO GALVÃO RIBEIRO;10:00-10:45
Terça-Feira;IAC012;Arquitetura e Organização de Computadores;MARCIO GALVÃO RIBEIRO;10:45-11:30
Quarta-Feira;COM141;Comunicação e Expressão;SILAS GUTIERREZ;07:00-07:45
Quarta-Feira;COM141;Comunicação e Expressão;SILAS GUTIERREZ;07:45-08:30
Quarta-Feira;COM141;Comunicação e Expressão;SILAS GUTIERREZ;08:30-09:15
Quarta-Feira;COM141;Comunicação e Expressão;SILAS GUTIERREZ;09:15-10:00
Quarta-Feira;ISO030;Sistemas Operacionais;ALEXANDRE MARCHIORI DE ALMEIDA;10:00-10:45
Quarta-Feira;ISO030;Sistemas Operacionais;ALEXANDRE MARCHIORI DE ALMEIDA;10:45-11:30
Quarta-Feira;ISO030;Sistemas Operacionais;ALEXANDRE MARCHIORI DE ALMEIDA;11:30-12:15
Quarta-Feira;ISO030;Sistemas Operacionais;ALEXANDRE MARCHIORI DE ALMEIDA;12:15-13:10
Quinta-Feira;IAL027;Algoritmos e Lógica de Programação;CARMEN LUCIA DE BARTOLO COSTA;08:30-09:15
Quinta-Feira;IAL027;Algoritmos e Lógica de Programação;CARMEN LUCIA DE BARTOLO COSTA;09:15-10:00
Quinta-Feira;IAL027;Algoritmos e Lógica de Programação;CARMEN LUCIA DE BARTOLO COSTA;10:00-10:45
Quinta-Feira;IAL027;Algoritmos e Lógica de Programação;CARMEN LUCIA DE BARTOLO COSTA;10:45-11:30
Sexta-Feira;ING401;Inglês I;GLEICIANE OLIVEIRA DE MORAIS;10:45-11:30
Sexta-Feira;ING401;Inglês I;GLEICIANE OLIVEIRA DE MORAIS;11:30-12:15
